location,location_name,season,year,week,epiweek,num_patients,wili,ili_plus,ili_plus_a,ili_plus_b
05,Arkansas,2015/2016,2015,42,201542,5014,0.997208,0.0,0.0,0.0
05,Arkansas,2015/2016,2015,41,201541,4051,0.863984,0.973,0.973,0.0
05,Arkansas,2015/2016,2015,48,201548,5203,1.0763,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,15,201615,3082,3.6989,13.303799999999999,3.7962000000000002,9.4962
05,Arkansas,2015/2016,2016,14,201614,3160,2.81646,12.949500000000002,6.4703,6.4703
05,Arkansas,2015/2016,2016,2,201602,4837,1.63324,0.0,0.0,0.0
05,Arkansas,2015/2016,2015,49,201549,4902,1.32599,0.0,0.0,0.0
05,Arkansas,2015/2016,2015,47,201547,3222,1.21043,0.9750000000000001,0.9750000000000001,0.0
05,Arkansas,offseason,2016,25,201625,945,0.0,0.0,0.0,0.0
05,Arkansas,2015/2016,2015,40,201540,4007,1.14799,1.771,0.0,1.771
05,Arkansas,offseason,2016,29,201629,899,0.111235,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,16,201616,3032,3.62797,5.005,0.0,5.005
05,Arkansas,offseason,2016,26,201626,1007,0.0993049,0.0,0.0,0.0
05,Arkansas,offseason,2016,38,201638,1466,0.341064,0.135,0.0,0.135
05,Arkansas,2015/2016,2016,13,201613,3100,3.22581,7.59,2.53,5.06
05,Arkansas,2015/2016,2015,43,201543,5438,0.845899,0.0,0.0,0.0
05,Arkansas,offseason,2016,35,201635,1333,0.150038,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,18,201618,2703,2.99667,9.882,5.9292,3.9528
05,Arkansas,2015/2016,2015,44,201544,4342,0.967296,1.7892,1.7892,0.0
05,Arkansas,offseason,2016,32,201632,686,0.437318,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,17,201617,2919,1.98698,4.8314,1.9314000000000002,2.9000000000000004
05,Arkansas,offseason,2016,23,201623,915,0.218579,0.0,0.0,0.0
05,Arkansas,offseason,2016,36,201636,1239,0.242131,0.0,0.0,0.0
05,Arkansas,2015/2016,2015,45,201545,6074,1.07014,0.0,0.0,0.0
05,Arkansas,offseason,2016,24,201624,1027,0.194742,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,6,201606,5088,2.53538,14.048100000000002,2.5542,11.4939
05,Arkansas,offseason,2016,37,201637,1442,0.970874,0.0,0.0,0.0
05,Arkansas,offseason,2016,31,201631,627,0.318979,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,3,201603,4011,1.72027,1.2765000000000002,0.0,1.2765000000000002
05,Arkansas,2015/2016,2016,9,201609,3592,4.87194,33.4775,9.135,24.3425
05,Arkansas,offseason,2016,34,201634,1304,0.0,0.0,0.0,0.0
05,Arkansas,offseason,2016,33,201633,1094,0.182815,0.0,0.0,0.0
05,Arkansas,2015/2016,2015,46,201546,5095,1.25613,0.0,0.0,0.0
05,Arkansas,offseason,2016,22,201622,570,0.0,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,4,201604,5096,2.21743,5.9438,0.0,5.9438
05,Arkansas,offseason,2016,30,201630,936,0.320513,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,19,201619,2322,2.23945,0.0,0.0,0.0
05,Arkansas,2015/2016,2015,50,201550,4412,1.29193,1.3281,0.0,1.3281
05,Arkansas,2015/2016,2016,5,201605,5457,2.07073,5.4466,0.0,5.4466
05,Arkansas,offseason,2016,21,201621,1026,0.389864,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,10,201610,3466,5.62608,43.913999999999994,17.5695,26.3445
05,Arkansas,2015/2016,2016,1,201601,4585,1.24318,0.0,0.0,0.0
05,Arkansas,2015/2016,2015,51,201551,2915,1.57804,0.9384000000000001,0.0,0.9384000000000001
05,Arkansas,2015/2016,2015,52,201552,3051,1.34382,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,12,201612,2225,3.59551,10.984,1.568,9.408
05,Arkansas,2015/2016,2016,8,201608,5010,3.17365,25.106099999999998,6.6939,18.4122
05,Arkansas,offseason,2016,28,201628,1004,0.298805,0.0,0.0,0.0
05,Arkansas,offseason,2016,27,201627,908,0.330396,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,7,201607,5187,2.69906,19.628,6.537999999999999,13.09
05,Arkansas,offseason,2016,39,201639,919,0.326442,0.0,0.0,0.0
05,Arkansas,2015/2016,2016,11,201611,3376,4.29502,26.6655,3.335,23.330499999999997
06,California,2015/2016,2015,47,201547,28641,2.39866,3.9846,3.2288999999999994,0.8243999999999999
06,California,2015/2016,2016,17,201617,40957,1.73597,23.3919,13.366799999999998,10.0251
06,California,2015/2016,2016,14,201614,44318,2.11652,66.8794,28.14,38.739399999999996
06,California,2015/2016,2016,20,201620,35445,1.48681,9.4333,7.1145000000000005,2.3715
06,California,2015/2016,2015,48,201548,46274,2.02273,14.788800000000002,8.3304,6.4584
06,California,2015/2016,2015,43,201543,44198,1.61772,0.0,0.0,0.0
06,California,offseason,2016,26,201626,31233,1.21986,0.9525,0.0,0.9525
06,California,2015/2016,2016,6,201606,48079,3.91439,397.66659999999996,251.8116,145.855
06,California,2015/2016,2016,18,201618,39264,1.84902,21.271800000000002,8.349,12.9228
06,California,offseason,2016,25,201625,32451,1.15867,1.4664000000000001,0.0,1.4664000000000001
06,California,2015/2016,2015,49,201549,45292,2.07101,8.5358,5.721799999999999,2.814
06,California,2015/2016,2016,2,201602,42220,2.47039,104.5086,76.9734,27.5352
06,California,2015/2016,2015,42,201542,45010,1.50411,2.2341,2.2341,0.0
06,California,2015/2016,2016,3,201603,40785,2.68971,138.222,92.3674,45.8546
06,California,2015/2016,2016,15,201615,44438,1.92403,42.579,23.769,18.810000000000002
06,California,2015/2016,2016,4,201604,47542,2.83328,181.0368,122.1729,58.998599999999996
06,California,offseason,2016,37,201637,35176,1.71708,3.2012,3.2012,0.0
06,California,offseason,2016,38,201638,34978,1.78398,14.352,9.984,4.4304
06,California,2015/2016,2015,41,201541,41696,1.5661,4.9628,2.9385000000000003,1.959
06,California,2015/2016,2016,13,201613,37483,2.80927,92.55869999999999,46.6479,45.9108
06,California,2015/2016,2015,40,201540,40416,1.38064,1.6181999999999999,1.6181999999999999,0.0
06,California,2015/2016,2015,44,201544,46086,1.73589,8.88,8.88,0.0
06,California,offseason,2016,32,201632,29796,0.896093,0.7476000000000002,0.0,0.7476000000000002
06,California,2015/2016,2016,5,201605,48720,3.28407,239.52,160.96,78.56
06,California,offseason,2016,23,201623,32194,1.36671,4.356,3.52,0.88
06,California,2015/2016,2016,16,201616,43598,1.62852,28.115999999999996,16.543,11.502000000000002
06,California,2015/2016,2015,50,201550,39444,2.17017,16.0072,9.2448,6.7624
06,California,offseason,2016,36,201636,29206,1.36273,5.2536,4.378,0.8756
06,California,offseason,2016,27,201627,26089,1.14608,0.8073,0.8073,0.0
